id,district,district_name,building_type,category,life_system,is_landmark,center_m,lot_size_m,footprint_m,rotation_deg,nearest_road,entrance_side,floors,height_class,basement_levels,z_min,z_max,elevator_count,stairwell_count,layout_id,base_plan,footprint_shape,floorplan_family,bedrooms,bathrooms,entrance_offset,window_pattern,stair_pattern,roof,facade,palette,feature,condition,room_twist,room_definition_set,loot_profile,zombie_heat_weight,vehicle_spawn_profile,parking_spaces_planned,parking_strategy,loading_bays,service_entrance_required,utility_profile,foraging_profile,story_zone,business_name_id,map_reveal_item,interior_state_seed,design_signature,visual_signature,status
P001,Z01,西北森林与湖泊,boathouse,special,休闲文化,False,"[301.1, 195.0]","[42.6, 58.0]","[28.9, 39.4]",0,R04,南,1,低层,0,0,0,0,0,L001,N001,错位双矩形,boathouse-功能分区-01,0,2,0.16,转角窗组,无楼梯,带前廊双坡,浅黄灰泥,浅青,前廊,火灾熏黑,车库内门,boathouse_rooms_v1,boathouse_loot_v1,0.7,rare_or_none,3,driveway_or_curb,0,False,well_septic_grid_power,forest,Z01_boathouse,,False,140216001,boathouse:001:037,"boathouse|错位双矩形|boathouse-功能分区-01|0|2|0.16|转角窗组|无楼梯|带前廊双坡|浅黄灰泥|浅青|前廊|1|[28.9, 39.4]|车库内门",planned
P002,Z01,西北森林与湖泊,ranger_station,special,教育公共,False,"[211.6, 282.1]","[53.6, 52.7]","[36.4, 35.8]",0,R04,北,1,低层,0,0,0,0,0,L002,N002,前凸形,ranger_station-功能分区-02,0,2,-0.01,凸窗组合,无楼梯,双坡,蓝灰木板,砖红,前廊,屋顶轻损,前置客厅,ranger_station_rooms_v1,ranger_station_loot_v1,0.7,rare_or_none,3,driveway_or_curb,0,False,well_septic_grid_power,forest,Z01_ranger_station,,False,140216002,ranger_station:002:074,"ranger_station|前凸形|ranger_station-功能分区-02|0|2|-0.01|凸窗组合|无楼梯|双坡|蓝灰木板|砖红|前廊|1|[36.4, 35.8]|前置客厅",planned
P003,Z01,西北森林与湖泊,maintenance_shed,special,基础设施,False,"[246.6, 211.3]","[51.9, 44.6]","[35.3, 30.3]",0,R04,南,1,低层,0,0,0,0,0,L003,N003,矩形,maintenance_shed-功能分区-03,0,1,-0.18,前一侧二,无楼梯,带前廊双坡,浅黄灰泥,松绿,前廊,杂草侵占,独立餐厅,maintenance_shed_rooms_v1,maintenance_shed_loot_v1,0.7,rare_or_none,3,driveway_or_curb,0,False,well_septic_grid_power,forest,Z01_maintenance_shed,,False,140216003,maintenance_shed:003:111,"maintenance_shed|矩形|maintenance_shed-功能分区-03|0|1|-0.18|前一侧二|无楼梯|带前廊双坡|浅黄灰泥|松绿|前廊|1|[35.3, 30.3]|独立餐厅",planned
P004,Z01,西北森林与湖泊,campground_service,special,休闲文化,False,"[161.5, 222.6]","[58.5, 51.0]","[39.8, 34.7]",0,R04,南,1,低层,0,0,0,0,0,L004,N004,错位双矩形,campground_service-功能分区-04,0,2,0.3,窄窗组合,无楼梯,双坡,蓝灰木板,浅青,前廊,维护良好,车库内门,campground_service_rooms_v1,campground_service_loot_v1,0.7,rare_or_none,3,driveway_or_curb,0,False,well_septic_grid_power,forest,Z01_campground_service,,False,140216004,campground_service:004:148,"campground_service|错位双矩形|campground_service-功能分区-04|0|2|0.3|窄窗组合|无楼梯|双坡|蓝灰木板|浅青|前廊|1|[39.8, 34.7]|车库内门",planned
P005,Z01,西北森林与湖泊,visitor_center,special,休闲文化,False,"[274.1, 122.0]","[38.1, 43.9]","[25.9, 29.8]",0,R05,东,1,低层,0,0,0,0,0,L005,N005,前凸形,visitor_center-功能分区-05,0,1,0.13,前二侧一,无楼梯,带前廊双坡,浅黄灰泥,砖红,前廊,火灾熏黑,前置客厅,visitor_center_rooms_v1,visitor_center_loot_v1,0.7,rare_or_none,3,driveway_or_curb,0,False,well_septic_grid_power,forest,Z01_visitor_center,,False,140216005,visitor_center:005:185,"visitor_center|前凸形|visitor_center-功能分区-05|0|1|0.13|前二侧一|无楼梯|带前廊双坡|浅黄灰泥|砖红|前廊|1|[25.9, 29.8]|前置客厅",planned
P006,Z01,西北森林与湖泊,detached_house,residential,居住,False,"[315.5, 279.9]","[26.3, 35.9]","[16.3, 22.3]",0,R06,东,1,低层,1,-1,0,0,1,L006,H001,矩形,L形动线,2,1,-0.04,转角窗组,无楼梯,双坡,蓝灰木板,松绿,前廊,屋顶轻损,独立餐厅,detached_house_rooms_v1,detached_house_loot_v1,1.0,resident_cars,2,driveway_or_curb,0,False,well_septic_grid_power,forest,Z01_detached_house,,False,140216006,detached_house:006:222,"detached_house|矩形|L形动线|2|1|-0.04|转角窗组|无楼梯|双坡|蓝灰木板|松绿|前廊|1|[16.3, 22.3]|独立餐厅",planned
P007,Z01,西北森林与湖泊,forest_cabin,residential,居住,False,"[89.4, 216.4]","[27.9, 29.0]","[17.3, 18.0]",0,R04,南,1,低层,0,0,0,0,0,L007,H002,L形左翼,环形动线,1,1,-0.21,凸窗组合,无楼梯,带前廊双坡,浅黄灰泥,浅青,前廊,杂草侵占,车库内门,forest_cabin_rooms_v1,forest_cabin_loot_v1,1.0,resident_cars,2,driveway_or_curb,0,False,well_septic_grid_power,forest,Z01_forest_cabin,,False,140216007,forest_cabin:007:259,"forest_cabin|L形左翼|环形动线|1|1|-0.21|凸窗组合|无楼梯|带前廊双坡|浅黄灰泥|浅青|前廊|1|[17.3, 18.0]|车库内门",planned
P008,Z01,西北森林与湖泊,forest_cabin,residential,居住,False,"[129.7, 288.6]","[21.0, 24.7]","[13.0, 15.3]",0,R04,北,1,低层,0,0,0,0,0,L008,H003,L形右翼,开放核心,2,1,0.27,前一侧二,无楼梯,双坡,蓝灰木板,砖红,前廊,维护良好,前置客厅,forest_cabin_rooms_v1,forest_cabin_loot_v1,1.0,resident_cars,2,driveway_or_curb,0,False,well_septic_grid_power,forest,Z01_forest_cabin,,False,140216008,forest_cabin:008:296,"forest_cabin|L形右翼|开放核心|2|1|0.27|前一侧二|无楼梯|双坡|蓝灰木板|砖红|前廊|1|[13.0, 15.3]|前置客厅",planned
P009,Z01,西北森林与湖泊,forest_cabin,residential,居住,False,"[21.2, 225.3]","[26.6, 36.4]","[16.5, 22.5]",0,R04,南,1,低层,1,-1,0,0,1,L009,H004,前凸形,纵深串联,1,1,0.1,窄窗组合,无楼梯,带前廊双坡,浅黄灰泥,松绿,前廊,火灾熏黑,独立餐厅,forest_cabin_rooms_v1,forest_cabin_loot_v1,1.0,resident_cars,2,driveway_or_curb,0,False,well_septic_grid_power,forest,Z01_forest_cabin,,False,140216009,forest_cabin:009:333,"forest_cabin|前凸形|纵深串联|1|1|0.1|窄窗组合|无楼梯|带前廊双坡|浅黄灰泥|松绿|前廊|1|[16.5, 22.5]|独立餐厅",planned
P010,Z01,西北森林与湖泊,forest_cabin,residential,居住,False,"[317.1, 112.8]","[24.7, 26.1]","[15.3, 16.2]",0,R05,东,1,低层,0,0,0,0,0,L010,H005,后凸形,中央走廊,2,1,-0.07,前二侧一,无楼梯,双坡,蓝灰木板,浅青,前廊,屋顶轻损,车库内门,forest_cabin_rooms_v1,forest_cabin_loot_v1,1.0,resident_cars,2,driveway_or_curb,0,False,well_septic_grid_power,forest,Z01_forest_cabin,,False,140216010,forest_cabin:010:370,"forest_cabin|后凸形|中央走廊|2|1|-0.07|前二侧一|无楼梯|双坡|蓝灰木板|浅青|前廊|1|[15.3, 16.2]|车库内门",planned
