id,district,district_name,building_type,category,life_system,is_landmark,center_m,lot_size_m,footprint_m,rotation_deg,nearest_road,entrance_side,floors,height_class,layout_id,base_plan,footprint_shape,floorplan_family,bedrooms,bathrooms,entrance_offset,window_pattern,stair_pattern,roof,facade,palette,feature,condition,room_twist,design_signature,visual_signature,status
P001,Z01,西北森林与湖泊,boathouse,special,休闲文化,False,"[144.4, 266.1]","[54.1, 49.0]","[36.8, 33.3]",0,R04,北,1,低层,L001,N001,错位双矩形,boathouse-功能分区-01,0,2,0.16,转角窗组,无楼梯,带前廊双坡,浅黄灰泥,浅青,前廊,火灾熏黑,车库内门,boathouse:001:037,"boathouse|错位双矩形|boathouse-功能分区-01|0|2|0.16|转角窗组|无楼梯|带前廊双坡|浅黄灰泥|浅青|前廊|1|[36.8, 33.3]|车库内门",planned
P002,Z01,西北森林与湖泊,ranger_station,special,其他,False,"[306.8, 255.9]","[45.2, 43.5]","[30.8, 29.6]",0,R04,北,1,低层,L002,N002,前凸形,ranger_station-功能分区-02,0,1,-0.01,凸窗组合,无楼梯,双坡,蓝灰木板,砖红,前廊,屋顶轻损,前置客厅,ranger_station:002:074,"ranger_station|前凸形|ranger_station-功能分区-02|0|1|-0.01|凸窗组合|无楼梯|双坡|蓝灰木板|砖红|前廊|1|[30.8, 29.6]|前置客厅",planned
P003,Z01,西北森林与湖泊,maintenance_shed,special,基础设施,False,"[57.9, 202.2]","[55.4, 60.7]","[37.7, 41.3]",0,R04,南,1,低层,L003,N003,矩形,maintenance_shed-功能分区-03,0,2,-0.18,前一侧二,无楼梯,带前廊双坡,浅黄灰泥,松绿,前廊,杂草侵占,独立餐厅,maintenance_shed:003:111,"maintenance_shed|矩形|maintenance_shed-功能分区-03|0|2|-0.18|前一侧二|无楼梯|带前廊双坡|浅黄灰泥|松绿|前廊|1|[37.7, 41.3]|独立餐厅",planned
P004,Z01,西北森林与湖泊,campground_service,special,休闲文化,False,"[211.6, 282.1]","[53.6, 52.7]","[36.4, 35.8]",0,R04,北,1,低层,L004,N004,错位双矩形,campground_service-功能分区-04,0,2,0.3,窄窗组合,无楼梯,双坡,蓝灰木板,浅青,前廊,维护良好,车库内门,campground_service:004:148,"campground_service|错位双矩形|campground_service-功能分区-04|0|2|0.3|窄窗组合|无楼梯|双坡|蓝灰木板|浅青|前廊|1|[36.4, 35.8]|车库内门",planned
P005,Z01,西北森林与湖泊,visitor_center,special,休闲文化,False,"[276.3, 152.8]","[54.6, 61.2]","[37.1, 41.6]",0,R04,南,1,低层,L005,N005,前凸形,visitor_center-功能分区-05,0,2,0.13,前二侧一,无楼梯,带前廊双坡,浅黄灰泥,砖红,前廊,火灾熏黑,前置客厅,visitor_center:005:185,"visitor_center|前凸形|visitor_center-功能分区-05|0|2|0.13|前二侧一|无楼梯|带前廊双坡|浅黄灰泥|砖红|前廊|1|[37.1, 41.6]|前置客厅",planned
P006,Z01,西北森林与湖泊,detached_house,residential,居住,False,"[282.6, 58.0]","[24.6, 40.5]","[15.3, 25.1]",0,R05,东,1,低层,L006,H001,矩形,L形动线,2,1,-0.04,转角窗组,无楼梯,双坡,蓝灰木板,松绿,前廊,屋顶轻损,独立餐厅,detached_house:006:222,"detached_house|矩形|L形动线|2|1|-0.04|转角窗组|无楼梯|双坡|蓝灰木板|松绿|前廊|1|[15.3, 25.1]|独立餐厅",planned
P007,Z01,西北森林与湖泊,forest_cabin,residential,居住,False,"[319.4, 59.1]","[24.5, 36.1]","[15.2, 22.4]",0,R05,东,1,低层,L007,H002,L形左翼,环形动线,1,1,-0.21,凸窗组合,无楼梯,带前廊双坡,浅黄灰泥,浅青,前廊,杂草侵占,车库内门,forest_cabin:007:259,"forest_cabin|L形左翼|环形动线|1|1|-0.21|凸窗组合|无楼梯|带前廊双坡|浅黄灰泥|浅青|前廊|1|[15.2, 22.4]|车库内门",planned
P008,Z01,西北森林与湖泊,forest_cabin,residential,居住,False,"[215.8, 190.1]","[32.8, 31.0]","[20.4, 19.2]",0,R04,南,1,低层,L008,H003,L形右翼,开放核心,2,1,0.27,前一侧二,无楼梯,双坡,蓝灰木板,砖红,前廊,维护良好,前置客厅,forest_cabin:008:296,"forest_cabin|L形右翼|开放核心|2|1|0.27|前一侧二|无楼梯|双坡|蓝灰木板|砖红|前廊|1|[20.4, 19.2]|前置客厅",planned
P009,Z01,西北森林与湖泊,forest_cabin,residential,居住,False,"[180.0, 194.0]","[26.0, 31.4]","[16.1, 19.5]",0,R04,南,1,低层,L009,H004,前凸形,纵深串联,1,1,0.1,窄窗组合,无楼梯,带前廊双坡,浅黄灰泥,松绿,前廊,火灾熏黑,独立餐厅,forest_cabin:009:333,"forest_cabin|前凸形|纵深串联|1|1|0.1|窄窗组合|无楼梯|带前廊双坡|浅黄灰泥|松绿|前廊|1|[16.1, 19.5]|独立餐厅",planned
P010,Z01,西北森林与湖泊,forest_cabin,residential,居住,False,"[245.5, 228.5]","[29.6, 32.5]","[18.4, 20.2]",0,R04,北,1,低层,L010,H005,后凸形,中央走廊,2,1,-0.07,前二侧一,无楼梯,双坡,蓝灰木板,浅青,前廊,屋顶轻损,车库内门,forest_cabin:010:370,"forest_cabin|后凸形|中央走廊|2|1|-0.07|前二侧一|无楼梯|双坡|蓝灰木板|浅青|前廊|1|[18.4, 20.2]|车库内门",planned
P011,Z01,西北森林与湖泊,forest_cabin,residential,居住,False,"[311.5, 100.5]","[30.0, 31.6]","[18.6, 19.6]",0,R05,东,1,低层,L011,H006,主屋加侧翼,前厅分流,1,1,-0.24,转角窗组,无楼梯,带前廊双坡,浅黄灰泥,砖红,前廊,杂草侵占,前置客厅,forest_cabin:011:407,"forest_cabin|主屋加侧翼|前厅分流|1|1|-0.24|转角窗组|无楼梯|带前廊双坡|浅黄灰泥|砖红|前廊|1|[18.6, 19.6]|前置客厅",planned
P012,Z01,西北森林与湖泊,detached_house,residential,居住,False,"[34.4, 257.8]","[37.3, 36.9]","[23.1, 22.9]",0,R04,南,2,低层,L012,H007,错位双矩形,双区分隔,4,1,0.24,凸窗组合,客厅转角梯,双坡,蓝灰木板,松绿,前廊,维护良好,独立餐厅,detached_house:012:444,"detached_house|错位双矩形|双区分隔|4|1|0.24|凸窗组合|客厅转角梯|双坡|蓝灰木板|松绿|前廊|2|[23.1, 22.9]|独立餐厅",planned
P013,Z02,北部农场带,veterinary_clinic,civic,医疗,False,"[373.8, 216.0]","[50.1, 42.1]","[36.1, 30.3]",0,R04,北,1,低层,L013,N006,T形,veterinary_clinic-功能分区-06,0,1,0.05,前二侧一,无楼梯,带前廊双坡,蓝灰木板,浅青,前廊,杂草侵占,车库内门,veterinary_clinic:013:481,"veterinary_clinic|T形|veterinary_clinic-功能分区-06|0|1|0.05|前二侧一|无楼梯|带前廊双坡|蓝灰木板|浅青|前廊|1|[36.1, 30.3]|车库内门",planned
P014,Z02,北部农场带,barn,rural,农业生产,False,"[537.2, 144.9]","[56.5, 50.3]","[32.8, 29.2]",0,R04,西,1,低层,L014,N007,后凸形,barn-功能分区-07,0,1,-0.12,转角窗组,无楼梯,双坡,浅黄灰泥,砖红,前廊,维护良好,前置客厅,barn:014:518,"barn|后凸形|barn-功能分区-07|0|1|-0.12|转角窗组|无楼梯|双坡|浅黄灰泥|砖红|前廊|1|[32.8, 29.2]|前置客厅",planned
P015,Z02,北部农场带,grain_silo,rural,农业生产,False,"[473.5, 245.7]","[39.9, 63.9]","[23.2, 37.1]",90,R03,东,1,低层,L015,N008,L形左翼,grain_silo-功能分区-08,0,1,-0.29,凸窗组合,无楼梯,带前廊双坡,蓝灰木板,松绿,前廊,火灾熏黑,独立餐厅,grain_silo:015:555,"grain_silo|L形左翼|grain_silo-功能分区-08|0|1|-0.29|凸窗组合|无楼梯|带前廊双坡|蓝灰木板|松绿|前廊|1|[23.2, 37.1]|独立餐厅",planned
P016,Z02,北部农场带,rural_outbuilding,rural,农业生产,False,"[620.6, 118.8]","[40.8, 52.1]","[23.6, 30.2]",0,R05,北,1,低层,L016,N009,T形,rural_outbuilding-功能分区-09,0,1,0.19,前一侧二,无楼梯,双坡,浅黄灰泥,浅青,前廊,屋顶轻损,车库内门,rural_outbuilding:016:592,"rural_outbuilding|T形|rural_outbuilding-功能分区-09|0|1|0.19|前一侧二|无楼梯|双坡|浅黄灰泥|浅青|前廊|1|[23.6, 30.2]|车库内门",planned
P017,Z02,北部农场带,rural_outbuilding,rural,农业生产,False,"[387.2, 36.3]","[40.8, 61.0]","[23.6, 35.4]",0,R05,南,1,低层,L017,N010,后凸形,rural_outbuilding-功能分区-10,0,1,0.02,窄窗组合,无楼梯,带前廊双坡,蓝灰木板,砖红,前廊,杂草侵占,前置客厅,rural_outbuilding:017:629,"rural_outbuilding|后凸形|rural_outbuilding-功能分区-10|0|1|0.02|窄窗组合|无楼梯|带前廊双坡|蓝灰木板|砖红|前廊|1|[23.6, 35.4]|前置客厅",planned
P018,Z02,北部农场带,rural_outbuilding,rural,农业生产,False,"[385.4, 267.4]","[48.1, 64.0]","[27.9, 37.1]",90,R12,南,1,低层,L018,N011,L形左翼,rural_outbuilding-功能分区-11,0,1,-0.15,前二侧一,无楼梯,双坡,浅黄灰泥,松绿,前廊,维护良好,独立餐厅,rural_outbuilding:018:666,"rural_outbuilding|L形左翼|rural_outbuilding-功能分区-11|0|1|-0.15|前二侧一|无楼梯|双坡|浅黄灰泥|松绿|前廊|1|[27.9, 37.1]|独立餐厅",planned
P019,Z02,北部农场带,barn,rural,农业生产,False,"[581.8, 242.9]","[51.4, 63.1]","[29.8, 36.6]",90,R03,西,1,低层,L019,N012,T形,barn-功能分区-12,0,1,-0.32,转角窗组,无楼梯,带前廊双坡,蓝灰木板,浅青,前廊,火灾熏黑,车库内门,barn:019:703,"barn|T形|barn-功能分区-12|0|1|-0.32|转角窗组|无楼梯|带前廊双坡|蓝灰木板|浅青|前廊|1|[29.8, 36.6]|车库内门",planned
P020,Z02,北部农场带,barn,rural,农业生产,False,"[455.0, 178.5]","[53.8, 54.0]","[31.2, 31.3]",0,R04,北,1,低层,L020,N013,后凸形,barn-功能分区-13,0,1,0.16,凸窗组合,无楼梯,双坡,浅黄灰泥,砖红,前廊,屋顶轻损,前置客厅,barn:020:740,"barn|后凸形|barn-功能分区-13|0|1|0.16|凸窗组合|无楼梯|双坡|浅黄灰泥|砖红|前廊|1|[31.2, 31.3]|前置客厅",planned
P021,Z02,北部农场带,rural_outbuilding,rural,农业生产,False,"[597.9, 190.4]","[40.3, 45.5]","[23.4, 26.4]",90,R03,西,1,低层,L021,N014,L形左翼,rural_outbuilding-功能分区-14,0,1,-0.01,前一侧二,无楼梯,带前廊双坡,蓝灰木板,松绿,前廊,杂草侵占,独立餐厅,rural_outbuilding:021:777,"rural_outbuilding|L形左翼|rural_outbuilding-功能分区-14|0|1|-0.01|前一侧二|无楼梯|带前廊双坡|蓝灰木板|松绿|前廊|1|[23.4, 26.4]|独立餐厅",planned
P022,Z02,北部农场带,barn,rural,农业生产,False,"[426.1, 115.4]","[42.7, 48.5]","[24.8, 28.1]",0,R04,南,1,低层,L022,N015,T形,barn-功能分区-15,0,1,-0.18,窄窗组合,无楼梯,双坡,浅黄灰泥,浅青,前廊,维护良好,车库内门,barn:022:814,"barn|T形|barn-功能分区-15|0|1|-0.18|窄窗组合|无楼梯|双坡|浅黄灰泥|浅青|前廊|1|[24.8, 28.1]|车库内门",planned
P023,Z02,北部农场带,barn,rural,农业生产,False,"[582.4, 65.1]","[55.8, 42.3]","[32.4, 24.5]",0,R05,南,1,低层,L023,N016,后凸形,barn-功能分区-16,0,1,0.3,前二侧一,无楼梯,带前廊双坡,蓝灰木板,砖红,前廊,火灾熏黑,前置客厅,barn:023:851,"barn|后凸形|barn-功能分区-16|0|1|0.3|前二侧一|无楼梯|带前廊双坡|蓝灰木板|砖红|前廊|1|[32.4, 24.5]|前置客厅",planned
P024,Z02,北部农场带,farm_supply,commercial,零售服务,False,"[528.6, 258.9]","[30.4, 34.7]","[21.9, 25.0]",90,R03,西,1,低层,L024,N017,L形左翼,farm_supply-功能分区-17,0,1,0.13,转角窗组,无楼梯,双坡,浅黄灰泥,松绿,前廊,屋顶轻损,独立餐厅,farm_supply:024:888,"farm_supply|L形左翼|farm_supply-功能分区-17|0|1|0.13|转角窗组|无楼梯|双坡|浅黄灰泥|松绿|前廊|1|[21.9, 25.0]|独立餐厅",planned
P025,Z02,北部农场带,feed_store,commercial,零售服务,False,"[673.6, 295.7]","[31.8, 32.7]","[22.9, 23.5]",90,R06,东,1,低层,L025,N018,T形,feed_store-功能分区-18,0,1,-0.04,凸窗组合,无楼梯,带前廊双坡,蓝灰木板,浅青,前廊,杂草侵占,车库内门,feed_store:025:925,"feed_store|T形|feed_store-功能分区-18|0|1|-0.04|凸窗组合|无楼梯|带前廊双坡|蓝灰木板|浅青|前廊|1|[22.9, 23.5]|车库内门",planned
P026,Z02,北部农场带,farmhouse,residential,居住,False,"[658.1, 61.4]","[32.8, 40.3]","[20.4, 25.0]",0,R05,南,1,低层,L026,H008,T形,开放核心,4,2,-0.21,前一侧二,无楼梯,双坡,浅黄灰泥,砖红,前廊,维护良好,前置客厅,farmhouse:026:962,"farmhouse|T形|开放核心|4|2|-0.21|前一侧二|无楼梯|双坡|浅黄灰泥|砖红|前廊|1|[20.4, 25.0]|前置客厅",planned
P027,Z02,北部农场带,detached_house,residential,居住,False,"[648.3, 206.4]","[29.3, 42.2]","[18.2, 26.1]",90,R06,东,1,低层,L027,H009,矩形,纵深串联,2,1,0.27,窄窗组合,无楼梯,带前廊双坡,蓝灰木板,松绿,前廊,火灾熏黑,独立餐厅,detached_house:027:002,"detached_house|矩形|纵深串联|2|1|0.27|窄窗组合|无楼梯|带前廊双坡|蓝灰木板|松绿|前廊|1|[18.2, 26.1]|独立餐厅",planned
P028,Z02,北部农场带,farmhouse,residential,居住,False,"[589.6, 308.9]","[32.6, 44.7]","[20.2, 27.7]",90,R13,南,1,低层,L028,H010,L形左翼,中央走廊,3,2,0.1,前二侧一,无楼梯,双坡,浅黄灰泥,浅青,前廊,屋顶轻损,车库内门,farmhouse:028:039,"farmhouse|L形左翼|中央走廊|3|2|0.1|前二侧一|无楼梯|双坡|浅黄灰泥|浅青|前廊|1|[20.2, 27.7]|车库内门",planned
P029,Z02,北部农场带,farmhouse,residential,居住,False,"[388.0, 123.8]","[24.7, 39.8]","[15.3, 24.7]",0,R04,南,1,低层,L029,H011,L形右翼,前厅分流,4,1,-0.07,转角窗组,无楼梯,带前廊双坡,蓝灰木板,砖红,前廊,杂草侵占,前置客厅,farmhouse:029:076,"farmhouse|L形右翼|前厅分流|4|1|-0.07|转角窗组|无楼梯|带前廊双坡|蓝灰木板|砖红|前廊|1|[15.3, 24.7]|前置客厅",planned
P030,Z02,北部农场带,farmhouse,residential,居住,False,"[667.0, 256.5]","[27.2, 44.9]","[16.9, 27.8]",90,R06,东,1,低层,L030,H012,前凸形,双区分隔,2,1,-0.24,凸窗组合,无楼梯,双坡,浅黄灰泥,松绿,前廊,维护良好,独立餐厅,farmhouse:030:113,"farmhouse|前凸形|双区分隔|2|1|-0.24|凸窗组合|无楼梯|双坡|浅黄灰泥|松绿|前廊|1|[16.9, 27.8]|独立餐厅",planned
P031,Z02,北部农场带,farmhouse,residential,居住,False,"[452.2, 44.3]","[30.9, 29.2]","[19.1, 18.1]",0,R05,南,1,低层,L031,H013,后凸形,侧走廊,3,1,0.24,前一侧二,无楼梯,带前廊双坡,蓝灰木板,浅青,前廊,火灾熏黑,车库内门,farmhouse:031:150,"farmhouse|后凸形|侧走廊|3|1|0.24|前一侧二|无楼梯|带前廊双坡|蓝灰木板|浅青|前廊|1|[19.1, 18.1]|车库内门",planned
P032,Z02,北部农场带,detached_house,residential,居住,False,"[533.2, 46.5]","[37.4, 29.1]","[23.2, 18.0]",90,R03,西,2,低层,L032,H014,主屋加侧翼,L形动线,3,2,0.07,窄窗组合,后部直梯,双坡,浅黄灰泥,砖红,前廊,屋顶轻损,前置客厅,detached_house:032:187,"detached_house|主屋加侧翼|L形动线|3|2|0.07|窄窗组合|后部直梯|双坡|浅黄灰泥|砖红|前廊|2|[23.2, 18.0]|前置客厅",planned
